ID	InputText	Entity	EntityLabel	UMLS.CUI	UMLS.Label	UMLS.Definition	UMLS.SemanticTypeIDs	UMLS.SemanticTypeLabels	UMLS.Synonyms	UMLS.Score	Document
fd9rWVYC7w	Improves physical Fitness, and can improve well-being and local air Quality.Walking and Biking to school and for close Errands helps keeps you Fit, helps improve the air in your community, and helps address climate change . playing outdoors, in nature and parks, has lots of Beneﬁts for children beyond just exercise . /C13Encourage outside time and time in nature for active play and physical activity in accordance with AAP guidelines . example of local handouts: Https: //Naturenet.Org/Connecting-Children/Nature-Health/ /C13Counsel on individual and public health Beneﬁts of active transportation and alternative commutes . Https: //Medsocietiesforclimatehealth.Org/Educate/Patients/ /C13Advocate structural changes to the built environment that promote equitable access to green space.	/C13Counsel	CHEMICAL								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
hT985oUwNQ	Extracurricular activities engagement with organizations on the climate crisis promotes community and purpose, and may buffer negative mental States associated with climate change (E.G . Ecoanxiety and Eco-Depression).What are some things you could do to help keep yourself, your community, and the environment healthy? How can you work with your community to address climate change? /C13Talk to children about climate change and the importance of individual choices many resources exist . One example: Https: //Www.Nytimes.Com/Interactive/2021/04/18/Climate/Climate-Changefuture-Kids.Html /C13Discuss climate action with interested teens and engage with local chapters of Nature-Based solutions and advocacy groups . Some examples: Https: //Www.Sunrisemovement.Org/ (continued on next page)										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
Nms5qhERyq	Curr probl Pediatr Adolesc health care, June 2021 7										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
69jyWCKm5D	Table (continued) Climate-Health rationale practical screening questions, suggested climate conversation starters, recommendations and resources Http: //Thisiszerohour.Org/ Https: //Www.Youth4Nature.Org/ Https: //Earthuprising.Org/ disease management plans and special considerations asthma and allergies climate change and pollution share common drivers /C0Both are Sequelae of fossil fuel combustion . heat contributes to ground-level ozone air pollution . climate Changeincreases risks of droughts and Wildﬁres . Some Allergenic plants produce more pollen when exposed to higher Co 2 concentrations in the air, and the pollen season is Longer.Heat, pollution, pollen and Wildﬁre smoke worsen air Qual-	asthma	DISEASE	C0004096	Asthma	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	T047	Disease or Syndrome	asthmatics, asthmatic, ASTHMA, Bronchial asthma, NOS, Asthma, Asthma, Bronchial, Airway hyperreactivity, ASTHMA BRONCHIAL, ASTHMA, BRONCHIAL, Asthma, unspecified, asthma disorders, br asthma, Asthmas, Bronchial Asthma, Asthmatic, Bronchial asthma, asthma, Asthma (disorder), Asthma, NOS, BRONCHIAL ASTHMA, bronchial asthma, bronchitic asthma	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
69jyWCKm5D	Table (continued) Climate-Health rationale practical screening questions, suggested climate conversation starters, recommendations and resources Http: //Thisiszerohour.Org/ Https: //Www.Youth4Nature.Org/ Https: //Earthuprising.Org/ disease management plans and special considerations asthma and allergies climate change and pollution share common drivers /C0Both are Sequelae of fossil fuel combustion . heat contributes to ground-level ozone air pollution . climate Changeincreases risks of droughts and Wildﬁres . Some Allergenic plants produce more pollen when exposed to higher Co 2 concentrations in the air, and the pollen season is Longer.Heat, pollution, pollen and Wildﬁre smoke worsen air Qual-	allergies	DISEASE	C0020517	Hypersensitivity	Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen.	T046	Pathologic Function	Allergic reaction, Sensitivity, hypersensitivity, Hypersensitivity NOS, Hypersensitivity reaction, Allergic state, Hypersensitivities, HYPERSENSITIVITY, Hypersensitive, hypersensitivities, Allergic reaction caused by substance, hypersensitivity symptoms, REACTION ALLERGIC (NOS), allergic disorders, hypersensitivity reactions, Allergy, NOS, ALLERGY, allergic reaction, ALLERGIC/HYPERSENSITIVITY, allergic reactions, Allergic reaction caused by substance (disorder), hypersensitivity reaction, Allergies, Allergic reaction, NOS, Allergy/allergic reaction NOS, allergy disorders, Allergic reaction to substance, HYSN, ALLERGIC REACTION, Hypersensitivity, Allergic state, NOS, Allergic disorders, REACTION HYPERSENSITIVITY (NOS), hypersensitivity symptom, Hypersensitivity reaction (disorder), Hypersensitivity reaction, NOS, allergy, Allergic reaction NOS, allergic disorder, Allergy, ALLERGIC REACTION (NOS), HYPERSENSITIVITY REACTION (NOS), allergies	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
69jyWCKm5D	Table (continued) Climate-Health rationale practical screening questions, suggested climate conversation starters, recommendations and resources Http: //Thisiszerohour.Org/ Https: //Www.Youth4Nature.Org/ Https: //Earthuprising.Org/ disease management plans and special considerations asthma and allergies climate change and pollution share common drivers /C0Both are Sequelae of fossil fuel combustion . heat contributes to ground-level ozone air pollution . climate Changeincreases risks of droughts and Wildﬁres . Some Allergenic plants produce more pollen when exposed to higher Co 2 concentrations in the air, and the pollen season is Longer.Heat, pollution, pollen and Wildﬁre smoke worsen air Qual-	ozone	CHEMICAL	C0030106	ozone	The unstable triatomic form of oxygen, O3. It is a powerful oxidant that is produced for various chemical and industrial uses. Its production is also catalyzed in the ATMOSPHERE by ULTRAVIOLET RAY irradiation of oxygen or other ozone precursors such as VOLATILE ORGANIC COMPOUNDS and NITROGEN OXIDES. About 90% of the ozone in the atmosphere exists in the stratosphere (STRATOSPHERIC OZONE).	T103	Chemical	ozone, O<sub>3</sub>, ozone (O3), O3, O>3<, Ozone, ozono, OZONE, Ozone (substance), O3 - ozone	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
69jyWCKm5D	Table (continued) Climate-Health rationale practical screening questions, suggested climate conversation starters, recommendations and resources Http: //Thisiszerohour.Org/ Https: //Www.Youth4Nature.Org/ Https: //Earthuprising.Org/ disease management plans and special considerations asthma and allergies climate change and pollution share common drivers /C0Both are Sequelae of fossil fuel combustion . heat contributes to ground-level ozone air pollution . climate Changeincreases risks of droughts and Wildﬁres . Some Allergenic plants produce more pollen when exposed to higher Co 2 concentrations in the air, and the pollen season is Longer.Heat, pollution, pollen and Wildﬁre smoke worsen air Qual-	smoke	CHEMICAL	C0037366	Smoke	Visible gaseous suspension of carbon and other particulate matter emitted from burning substances.	T131	Hazardous or Poisonous Substance	Smoke, Smoke (substance), smoke, smoke [in an environmental context]	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
B6wC342idz	Ity and respiratory Illnesses.Climate change makes pollen season longer and stronger . (it ’ s not just your imagination that your allergies are getting worse). climate change is causing hotter weather, and heat makes pollution and air quality worse . children ’ s lungs are sensitive to bad air quality, and it can trigger and worsen asthma . Let ’ s think about temperature and air quality in your asthma action plan . What are your plans to stay safe from Wildﬁre smoke? /C13Include pollution and seasonal pollen counts in asthma management plans . /C15Recommend that patients exercise and play outdoors when the local air quality index is good and avoid outside time during “ code orange ” or higher air quality alerts.	allergies	DISEASE	C0020517	Hypersensitivity	Altered reactivity to an antigen, which can result in pathologic reactions upon subsequent exposure to that particular antigen.	T046	Pathologic Function	Allergic reaction, Sensitivity, hypersensitivity, Hypersensitivity NOS, Hypersensitivity reaction, Allergic state, Hypersensitivities, HYPERSENSITIVITY, Hypersensitive, hypersensitivities, Allergic reaction caused by substance, hypersensitivity symptoms, REACTION ALLERGIC (NOS), allergic disorders, hypersensitivity reactions, Allergy, NOS, ALLERGY, allergic reaction, ALLERGIC/HYPERSENSITIVITY, allergic reactions, Allergic reaction caused by substance (disorder), hypersensitivity reaction, Allergies, Allergic reaction, NOS, Allergy/allergic reaction NOS, allergy disorders, Allergic reaction to substance, HYSN, ALLERGIC REACTION, Hypersensitivity, Allergic state, NOS, Allergic disorders, REACTION HYPERSENSITIVITY (NOS), hypersensitivity symptom, Hypersensitivity reaction (disorder), Hypersensitivity reaction, NOS, allergy, Allergic reaction NOS, allergic disorder, Allergy, ALLERGIC REACTION (NOS), HYPERSENSITIVITY REACTION (NOS), allergies	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
B6wC342idz	Ity and respiratory Illnesses.Climate change makes pollen season longer and stronger . (it ’ s not just your imagination that your allergies are getting worse). climate change is causing hotter weather, and heat makes pollution and air quality worse . children ’ s lungs are sensitive to bad air quality, and it can trigger and worsen asthma . Let ’ s think about temperature and air quality in your asthma action plan . What are your plans to stay safe from Wildﬁre smoke? /C13Include pollution and seasonal pollen counts in asthma management plans . /C15Recommend that patients exercise and play outdoors when the local air quality index is good and avoid outside time during “ code orange ” or higher air quality alerts.	asthma	DISEASE	C0004096	Asthma	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	T047	Disease or Syndrome	asthmatics, asthmatic, ASTHMA, Bronchial asthma, NOS, Asthma, Asthma, Bronchial, Airway hyperreactivity, ASTHMA BRONCHIAL, ASTHMA, BRONCHIAL, Asthma, unspecified, asthma disorders, br asthma, Asthmas, Bronchial Asthma, Asthmatic, Bronchial asthma, asthma, Asthma (disorder), Asthma, NOS, BRONCHIAL ASTHMA, bronchial asthma, bronchitic asthma	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
B6wC342idz	Ity and respiratory Illnesses.Climate change makes pollen season longer and stronger . (it ’ s not just your imagination that your allergies are getting worse). climate change is causing hotter weather, and heat makes pollution and air quality worse . children ’ s lungs are sensitive to bad air quality, and it can trigger and worsen asthma . Let ’ s think about temperature and air quality in your asthma action plan . What are your plans to stay safe from Wildﬁre smoke? /C13Include pollution and seasonal pollen counts in asthma management plans . /C15Recommend that patients exercise and play outdoors when the local air quality index is good and avoid outside time during “ code orange ” or higher air quality alerts.	asthma	DISEASE	C0004096	Asthma	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	T047	Disease or Syndrome	asthmatics, asthmatic, ASTHMA, Bronchial asthma, NOS, Asthma, Asthma, Bronchial, Airway hyperreactivity, ASTHMA BRONCHIAL, ASTHMA, BRONCHIAL, Asthma, unspecified, asthma disorders, br asthma, Asthmas, Bronchial Asthma, Asthmatic, Bronchial asthma, asthma, Asthma (disorder), Asthma, NOS, BRONCHIAL ASTHMA, bronchial asthma, bronchitic asthma	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
B6wC342idz	Ity and respiratory Illnesses.Climate change makes pollen season longer and stronger . (it ’ s not just your imagination that your allergies are getting worse). climate change is causing hotter weather, and heat makes pollution and air quality worse . children ’ s lungs are sensitive to bad air quality, and it can trigger and worsen asthma . Let ’ s think about temperature and air quality in your asthma action plan . What are your plans to stay safe from Wildﬁre smoke? /C13Include pollution and seasonal pollen counts in asthma management plans . /C15Recommend that patients exercise and play outdoors when the local air quality index is good and avoid outside time during “ code orange ” or higher air quality alerts.	asthma	DISEASE	C0004096	Asthma	A form of bronchial disorder with three distinct components: airway hyper-responsiveness (RESPIRATORY HYPERSENSITIVITY), airway INFLAMMATION, and intermittent AIRWAY OBSTRUCTION. It is characterized by spasmodic contraction of airway smooth muscle, WHEEZING, and dyspnea (DYSPNEA, PAROXYSMAL).	T047	Disease or Syndrome	asthmatics, asthmatic, ASTHMA, Bronchial asthma, NOS, Asthma, Asthma, Bronchial, Airway hyperreactivity, ASTHMA BRONCHIAL, ASTHMA, BRONCHIAL, Asthma, unspecified, asthma disorders, br asthma, Asthmas, Bronchial Asthma, Asthmatic, Bronchial asthma, asthma, Asthma (disorder), Asthma, NOS, BRONCHIAL ASTHMA, bronchial asthma, bronchitic asthma	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
t52U8kQrZ3	/C15Consider a mask when Age-Appropriate and when in areas affected by Wildﬁre smoke or a local air quality index of moderate or Severe.97 /C13Show patients how to access the air quality index and pollen counts (where available): Https: //Www.Airnow.Gov/ Https: //Pollen.Aaaai.Org/ /C13In areas affected by Wildﬁre smoke, advise families to use a household Hepa Filter . /C13Refer families to the Airnow.Gov Fire and smoke map that includes data from low-cost sensors to enhance resolution of Fire smoke information: Https: //Fire.Airnow.Gov/ sports physical climate change is resulting in more extreme heat . children and youth involved in athletic activities are at risk for heat	smoke	CHEMICAL	C0037366	Smoke	Visible gaseous suspension of carbon and other particulate matter emitted from burning substances.	T131	Hazardous or Poisonous Substance	Smoke, Smoke (substance), smoke, smoke [in an environmental context]	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
t52U8kQrZ3	/C15Consider a mask when Age-Appropriate and when in areas affected by Wildﬁre smoke or a local air quality index of moderate or Severe.97 /C13Show patients how to access the air quality index and pollen counts (where available): Https: //Www.Airnow.Gov/ Https: //Pollen.Aaaai.Org/ /C13In areas affected by Wildﬁre smoke, advise families to use a household Hepa Filter . /C13Refer families to the Airnow.Gov Fire and smoke map that includes data from low-cost sensors to enhance resolution of Fire smoke information: Https: //Fire.Airnow.Gov/ sports physical climate change is resulting in more extreme heat . children and youth involved in athletic activities are at risk for heat	smoke	CHEMICAL	C0037366	Smoke	Visible gaseous suspension of carbon and other particulate matter emitted from burning substances.	T131	Hazardous or Poisonous Substance	Smoke, Smoke (substance), smoke, smoke [in an environmental context]	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
t52U8kQrZ3	/C15Consider a mask when Age-Appropriate and when in areas affected by Wildﬁre smoke or a local air quality index of moderate or Severe.97 /C13Show patients how to access the air quality index and pollen counts (where available): Https: //Www.Airnow.Gov/ Https: //Pollen.Aaaai.Org/ /C13In areas affected by Wildﬁre smoke, advise families to use a household Hepa Filter . /C13Refer families to the Airnow.Gov Fire and smoke map that includes data from low-cost sensors to enhance resolution of Fire smoke information: Https: //Fire.Airnow.Gov/ sports physical climate change is resulting in more extreme heat . children and youth involved in athletic activities are at risk for heat	smoke	CHEMICAL	C0037366	Smoke	Visible gaseous suspension of carbon and other particulate matter emitted from burning substances.	T131	Hazardous or Poisonous Substance	Smoke, Smoke (substance), smoke, smoke [in an environmental context]	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
c6TvE6gF5z	Related Illnesses.Climate change is causing more extreme heat and more heat earlier in the spring and later in the fall . It is important to exercise safely and pay Attentio N to Hydration . /C13Discuss prevention of heat illness when completing sports physicals . /C15Encourage Hydration during strenuous outdoor activity . /C15Acclimatize at the beginning of the season . /C15Avoid the hottest time of the day . /C15Recognize the signs and symptoms of heat illness . /C13Provide families with resources to take home and share with coaches and teams . /C15National athletic Trainers Association: Https: //Www.Nata.Org/Sites/Default/Files/Hydration_Heat_Illness_Handout.Pdf /C15Https: //Www.Nata.Org/Sites/Default/Files/Heat-Illness-Parent-Coach-Guide.Pdf	heat illness	DISEASE	C0282507	Heat Stress Disorders	A group of conditions that develop due to overexposure or overexertion in excessive environmental heat.	T037	Injury or Poisoning	Heat Stress Disorder, Heat Illnesses, Heat Stress Disorders, Stress Syndrome, Heat, Stress Disorder, Heat, heat stress, Heat Illness, Heat Stress Syndrome, Heat Stress Syndromes, Stress Disorders, Heat, Illness, Heat	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
c6TvE6gF5z	Related Illnesses.Climate change is causing more extreme heat and more heat earlier in the spring and later in the fall . It is important to exercise safely and pay Attentio N to Hydration . /C13Discuss prevention of heat illness when completing sports physicals . /C15Encourage Hydration during strenuous outdoor activity . /C15Acclimatize at the beginning of the season . /C15Avoid the hottest time of the day . /C15Recognize the signs and symptoms of heat illness . /C13Provide families with resources to take home and share with coaches and teams . /C15National athletic Trainers Association: Https: //Www.Nata.Org/Sites/Default/Files/Hydration_Heat_Illness_Handout.Pdf /C15Https: //Www.Nata.Org/Sites/Default/Files/Heat-Illness-Parent-Coach-Guide.Pdf	heat illness	DISEASE	C0282507	Heat Stress Disorders	A group of conditions that develop due to overexposure or overexertion in excessive environmental heat.	T037	Injury or Poisoning	Heat Stress Disorder, Heat Illnesses, Heat Stress Disorders, Stress Syndrome, Heat, Stress Disorder, Heat, heat stress, Heat Illness, Heat Stress Syndrome, Heat Stress Syndromes, Stress Disorders, Heat, Illness, Heat	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
AiEBLqVixB	/C15Korey Stringer Institute - Https: //Ksi.Uconn.Edu/Wp-Content/Uploads/Sites/1222/2019/05/Reducing-Heat-Illness-In-College-And-High-Sc Hool-Sports.Pdf children with complex medical Conditionsclimate change is worsening weather disasters . planning for disaster is critical for children with complex needs whose well-being depends on close management of health Conditions.Climate change is causing more serious and disruptive disasters . Some children are at greater risk because of their health conditions . do you have a plan to stay safe in disasters? /C13Discuss steps for disaster preparedness with families: be informed, make a plan, build a kit, and get involved . refer families to AAP ’ s page for Resour CES for each step:	AAP ’ s page	CHEMICAL	C0051989	antiarrhythmic peptide		T116,T121	Amino Acid, Peptide, or Protein,Pharmacologic Substance	atrial peptide, Gly-Pro-HyPro-Gly-Ala-Gly, atrial peptides, Antiarrhythmic peptide (ox atrium), antiarrhythmic peptide (AAP), acetamidino-antiarrhythmic peptide, aap, AAP, Gly-Pro-4-Hyp-Gly-Ala-Gly, antiarrhythmic peptide	0.704	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
YRRGMLnuBd	Https: //Www.Aap.Org/En-Us/Advocacy-And-Policy/Aap-Health-Initiatives/Children-And-Disasters/Pages/Cywsn.Aspx /C13Ensure patients have an up-to-date emergency information card: Https: //Cshcn.Org/Pdf/In-Case-Of-Emergency-English.Pdf /C13Review medication Reﬁlls and supplies, and assist families with phone numbers and information to access their care team in emergencies . medication reconciliation elevated Ambient temperatures alter the Efﬁcacy of some Medications . Some Medications affect heat and water Homeostasis and place children more at risk of Heat-Related illness or Dehy-Dration in the changing Climate.Climate change makes it even more important to store some of your Medications in a Temperature-Controlled place.										/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
w7WQDRy6yQ	/C13Counsel patients on Temperature-Controlled storage of Medications- never in cars and use caution with Mail-order services in hot months . example ha Ndout: Https: //Www.Thechildren.Com/Health-Info/Conditions-And-Illnesses/Heat-And-Medication-Humidity-And-Soaring-Temperatures-Can-Alte R /C13Counsel patients on the risks of Medications that alter heat and water Homeostasis . anticipatory guidance and injury prevention heat and sun safety climate change is resulting in more extreme heat . heat exposure has been associated with Heat-Related illness, heat stroke, and infant Mortality./C13Ensure families are prepared to protect children from heat illness: Https: //Apha.Org/-/Media/Files/Pdf/Topics/Climate/Childrens_Health.Ashx Https: //Www.Cdc.Gov/Cpr/Infographics/Beattheheat.Htm	/C13Counsel	CHEMICAL								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
w7WQDRy6yQ	/C13Counsel patients on Temperature-Controlled storage of Medications- never in cars and use caution with Mail-order services in hot months . example ha Ndout: Https: //Www.Thechildren.Com/Health-Info/Conditions-And-Illnesses/Heat-And-Medication-Humidity-And-Soaring-Temperatures-Can-Alte R /C13Counsel patients on the risks of Medications that alter heat and water Homeostasis . anticipatory guidance and injury prevention heat and sun safety climate change is resulting in more extreme heat . heat exposure has been associated with Heat-Related illness, heat stroke, and infant Mortality./C13Ensure families are prepared to protect children from heat illness: Https: //Apha.Org/-/Media/Files/Pdf/Topics/Climate/Childrens_Health.Ashx Https: //Www.Cdc.Gov/Cpr/Infographics/Beattheheat.Htm	/C13Counsel	DISEASE								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
w7WQDRy6yQ	/C13Counsel patients on Temperature-Controlled storage of Medications- never in cars and use caution with Mail-order services in hot months . example ha Ndout: Https: //Www.Thechildren.Com/Health-Info/Conditions-And-Illnesses/Heat-And-Medication-Humidity-And-Soaring-Temperatures-Can-Alte R /C13Counsel patients on the risks of Medications that alter heat and water Homeostasis . anticipatory guidance and injury prevention heat and sun safety climate change is resulting in more extreme heat . heat exposure has been associated with Heat-Related illness, heat stroke, and infant Mortality./C13Ensure families are prepared to protect children from heat illness: Https: //Apha.Org/-/Media/Files/Pdf/Topics/Climate/Childrens_Health.Ashx Https: //Www.Cdc.Gov/Cpr/Infographics/Beattheheat.Htm	Heat-Related illness	DISEASE	C0282507	Heat Stress Disorders	A group of conditions that develop due to overexposure or overexertion in excessive environmental heat.	T037	Injury or Poisoning	Heat Stress Disorder, Heat Illnesses, Heat Stress Disorders, Stress Syndrome, Heat, Stress Disorder, Heat, heat stress, Heat Illness, Heat Stress Syndrome, Heat Stress Syndromes, Stress Disorders, Heat, Illness, Heat	0.71	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
w7WQDRy6yQ	/C13Counsel patients on Temperature-Controlled storage of Medications- never in cars and use caution with Mail-order services in hot months . example ha Ndout: Https: //Www.Thechildren.Com/Health-Info/Conditions-And-Illnesses/Heat-And-Medication-Humidity-And-Soaring-Temperatures-Can-Alte R /C13Counsel patients on the risks of Medications that alter heat and water Homeostasis . anticipatory guidance and injury prevention heat and sun safety climate change is resulting in more extreme heat . heat exposure has been associated with Heat-Related illness, heat stroke, and infant Mortality./C13Ensure families are prepared to protect children from heat illness: Https: //Apha.Org/-/Media/Files/Pdf/Topics/Climate/Childrens_Health.Ashx Https: //Www.Cdc.Gov/Cpr/Infographics/Beattheheat.Htm	heat stroke	DISEASE	C0018843	Heat Stroke	A condition caused by the failure of body to dissipate heat in an excessively hot environment or during PHYSICAL EXERTION in a hot environment. Contrast to HEAT EXHAUSTION, the body temperature in heat stroke patient is dangerously high with red, hot skin accompanied by DELUSIONS; CONVULSIONS; or COMA. It can be a life-threatening emergency and is most common in infants and the elderly.	T037	Injury or Poisoning	Heatstrokes, Heat stroke, Heat hyperpyrexia, Heat stroke (disorder), Heatstroke, heatstroke, THERMOPLEGIA, HEAT APOPLEXY, Heat apoplexy, Heat Stroke, Thermoplegia, Heat Strokes, Overheating, HEAT STROKE, heat hyperpyrexia, heat stroke, Heat stroke, NOS, thermoplegia, heat apoplexy or hyperpyrexia, heat strokes, heatstrokes, Stroke, Heat	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
w7WQDRy6yQ	/C13Counsel patients on Temperature-Controlled storage of Medications- never in cars and use caution with Mail-order services in hot months . example ha Ndout: Https: //Www.Thechildren.Com/Health-Info/Conditions-And-Illnesses/Heat-And-Medication-Humidity-And-Soaring-Temperatures-Can-Alte R /C13Counsel patients on the risks of Medications that alter heat and water Homeostasis . anticipatory guidance and injury prevention heat and sun safety climate change is resulting in more extreme heat . heat exposure has been associated with Heat-Related illness, heat stroke, and infant Mortality./C13Ensure families are prepared to protect children from heat illness: Https: //Apha.Org/-/Media/Files/Pdf/Topics/Climate/Childrens_Health.Ashx Https: //Www.Cdc.Gov/Cpr/Infographics/Beattheheat.Htm	heat illness	DISEASE	C0282507	Heat Stress Disorders	A group of conditions that develop due to overexposure or overexertion in excessive environmental heat.	T037	Injury or Poisoning	Heat Stress Disorder, Heat Illnesses, Heat Stress Disorders, Stress Syndrome, Heat, Stress Disorder, Heat, heat stress, Heat Illness, Heat Stress Syndrome, Heat Stress Syndromes, Stress Disorders, Heat, Illness, Heat	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
bVpe8ospHP	/C13Continue to recommend sun safety measures disaster preparedness climate change is increasing the numbers of children exposed to Weather-Related Disasters./C13Discuss disaster preparedness with families and share preparedness resources . /C15Aap family readiness kit: Https: //Www.Aap.Org/En-Us/Documents/Disasters_Family_Readiness_Kit.Pdf /C15Cdc ready Wrigley - Https: //Www.Cdc.Gov/Cpr/Readywrigley/Index.Htm /C13Ensure children have an emergency contact card and know parental information . emerging conditions changing patterns of infections and exposures create health risks in New Geographies./C13Tailor information on local outbreaks and emerging diseases with families . /C15Cdc national outbreak reporting system: Https: //Wwwn.Cdc.Gov/Norsdashboard/	/C13Continue	DISEASE								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
bVpe8ospHP	/C13Continue to recommend sun safety measures disaster preparedness climate change is increasing the numbers of children exposed to Weather-Related Disasters./C13Discuss disaster preparedness with families and share preparedness resources . /C15Aap family readiness kit: Https: //Www.Aap.Org/En-Us/Documents/Disasters_Family_Readiness_Kit.Pdf /C15Cdc ready Wrigley - Https: //Www.Cdc.Gov/Cpr/Readywrigley/Index.Htm /C13Ensure children have an emergency contact card and know parental information . emerging conditions changing patterns of infections and exposures create health risks in New Geographies./C13Tailor information on local outbreaks and emerging diseases with families . /C15Cdc national outbreak reporting system: Https: //Wwwn.Cdc.Gov/Norsdashboard/	Htm /C13Ensure	CHEMICAL								/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
bVpe8ospHP	/C13Continue to recommend sun safety measures disaster preparedness climate change is increasing the numbers of children exposed to Weather-Related Disasters./C13Discuss disaster preparedness with families and share preparedness resources . /C15Aap family readiness kit: Https: //Www.Aap.Org/En-Us/Documents/Disasters_Family_Readiness_Kit.Pdf /C15Cdc ready Wrigley - Https: //Www.Cdc.Gov/Cpr/Readywrigley/Index.Htm /C13Ensure children have an emergency contact card and know parental information . emerging conditions changing patterns of infections and exposures create health risks in New Geographies./C13Tailor information on local outbreaks and emerging diseases with families . /C15Cdc national outbreak reporting system: Https: //Wwwn.Cdc.Gov/Norsdashboard/	infections	DISEASE	C0851162	Infections of musculoskeletal system		T047	Disease or Syndrome	Musculoskeletal infective disorder, infections of the muscles or skeleton, Infections, Infection of musculoskeletal system, Musculoskeletal infective disorder (disorder)	1.0	/Users/rsgoncalves/Documents/Harvard/Workspace/sbert-scispacy-interfaces/data/1-s2.0-S1538544221000821-main.pdf
